date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:26	75953/75953	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2005:24:29%20GMT	https://newfreetool.com/en/home	D:/New%20folder/newfreetools/newfreetoolss/newfreetool.com/en/home.html	(from )
10:24:26	86/86	---M--	200	added ('OK')	text/plain	etag:%2265d23076-56%22	https://newfreetool.com/robots.txt		(from )
10:24:27	190877/190877	---M--	200	added ('OK')	text/javascript	etag:1450628981268700977	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-9804363374403432	D:/New%20folder/newfreetools/newfreetoolss/pagead2.googlesyndication.com/pagead/js/f21b9.txt	(from https://newfreetool.com/en/home)
10:24:27	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2016%20Dec%202024%2005:24:31%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/New%20folder/newfreetools/newfreetoolss/www.googletagmanager.com/gtm.25445.delayed	(from https://newfreetool.com/en/home)
10:24:28	34642/34642	---M--	200	added ('OK')	text/css	etag:%22639ad398-8752%22	https://newfreetool.com/public/assets/frontend/fonts/fontawesome/fontawesome-all.min.css	D:/New%20folder/newfreetools/newfreetoolss/newfreetool.com/public/assets/frontend/fonts/fontawesome/fontawesome-all.min.css	(from https://newfreetool.com/en/home)
10:24:28	144534/144534	---M--	200	added ('OK')	text/css	etag:%22639ad398-23496%22	https://newfreetool.com/public/assets/frontend/vendor/bootstrap/css/bootstrap.min.css	D:/New%20folder/newfreetools/newfreetoolss/newfreetool.com/public/assets/frontend/vendor/bootstrap/css/bootstrap.min.css	(from https://newfreetool.com/en/home)
10:24:29	288015/288015	---M--	200	added ('OK')	text/css	etag:%226650e82d-4650f%22	https://newfreetool.com/public/assets/frontend/css/style.css	D:/New%20folder/newfreetools/newfreetoolss/newfreetool.com/public/assets/frontend/css/style.css	(from https://newfreetool.com/en/home)
10:24:29	44311/44311	---M--	200	added ('OK')	text/css	etag:%226658c487-ad17%22	https://newfreetool.com/public/assets/frontend/css/custom.css	D:/New%20folder/newfreetools/newfreetoolss/newfreetool.com/public/assets/frontend/css/custom.css	(from https://newfreetool.com/en/home)
10:24:29	4401/4401	---M--	200	added ('OK')	text/css	etag:%2265d91651-1131%22	https://newfreetool.com/public/assets/frontend/styles/maincolors.css	D:/New%20folder/newfreetools/newfreetoolss/newfreetool.com/public/assets/frontend/styles/maincolors.css	(from https://newfreetool.com/en/home)
10:24:29	4442/4442	---M--	200	added ('OK')	text/css	etag:%2265d913da-115a%22	https://newfreetool.com/public/assets/frontend/styles/preschool.css	D:/New%20folder/newfreetools/newfreetoolss/newfreetool.com/public/assets/frontend/styles/preschool.css	(from https://newfreetool.com/en/home)
